Age groups (21),  Married spouses,  Common-law partners, 
  Under 15 years,0,0,
  15 to 19 years,2935,27315,
    15 to 17 years,440,3310,
    18 to 19 years,2495,24000,
  20 to 24 years,92670,256145,
  25 to 29 years,496730,486030,
  30 to 34 years,944825,450345,
  35 to 39 years,1188430,361985,
  40 to 44 years,1329495,337535,
  45 to 49 years,1540050,360165,
  50 to 54 years,1584840,314370,
  55 to 59 years,1460095,224550,
  60 to 64 years,1323900,151350,
  65 years and over,2623935,166025,
    65 to 69 years,980655,85125,
    70 to 74 years,712085,43005,
    75 years and over,931190,37900,
      75 to 79 years,501515,22560,
      80 to 84 years,292650,10785,
      85 years and over,137030,4550,
